,Date,User,Tweet
35,2017-12-30 14:33:01+00:00,Fatekhan10,@BharatSolankee Policy against farmer and favour to industry. Poor v/s rich.
36,2017-12-30 07:04:15+00:00,makul1,@BharatSolankee support Nitin Patel for cm..  @ashokgehlot51 @INCGujarat
37,2017-12-29 03:48:50+00:00,nanditathhakur,@BharatSolankee is it true?? https://t.co/REW6wAH1zZ
38,2017-12-28 08:33:01+00:00,bafna_bharat,@BharatSolankee today no temple visit?
39,2017-12-28 04:47:35+00:00,amansinghchaud5,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC That is great party
40,2017-12-27 15:59:18+00:00,ManishKolhe,"@BharatSolankee So after communal divide you started to divide people as zone wise for your political benefits
You people really with shameless attitudes"
41,2017-12-27 04:44:51+00:00,r2public,"@BharatSolankee If this is true, then Congress should support these people who stood by you."
42,2017-12-26 18:37:36+00:00,SpartanHominine,"@BharatSolankee Vendetta on the people👿... VERY BAD .... so is it all about .... ""Mere Saath Mera Vikas""? 🤔"
43,2017-12-26 17:38:11+00:00,Bhargav47421903,@BharatSolankee But how do you come to know sir about this sir of govt misdeeds what proof do you have
44,2017-12-26 17:13:53+00:00,bafna_bharat,"@BharatSolankee @IndianExpress why your party lost election ,first assess himself."
45,2017-12-26 12:53:14+00:00,aipatel_55,@BharatSolankee Congress should aggressively take up such issue rigorously.
46,2017-12-26 10:50:10+00:00,DrKasatsachin,@BharatSolankee Shame @narendramodi @AmitShah
47,2017-12-26 10:28:58+00:00,rajaryadr,@BharatSolankee u have 80+MLA to break the bone of such orders or policies.if its true than gherao the assembly &amp; come on streets together.gujratis want justification of their votes from cong &amp; fight for them.drawing room politics is over by scratching each other back.2019 is not very far
48,2017-12-26 08:44:32+00:00,ihiteshsanghvi,@BharatSolankee Y dint u fight election. U knew u will loose like ur other friends.
49,2017-12-26 08:19:29+00:00,NeerGopal,"@BharatSolankee Why Gujarati Refused CONGRESS,
Nov-14 Gas Rate 39.85/- &amp; Dec-17 After increase Rs.34.50/- Between this periods Rate Ups &amp; Down. Narmada Water Supply Stopped for Maintenance Purpose. Both Answer is Here #Congress is Lia Hard
@dhaval241086 @malviyamit @sanghaviharsh @sambitswaraj https://t.co/jcG5IBqjxy"
50,2017-12-26 07:36:19+00:00,India_legally,@BharatSolankee Need to continue with protest for getting MSP and water across the belt. Need to fight for Farmers who have supported Cong. The battle is not over as yet. 2019 clean up next target.
51,2017-12-24 04:09:33+00:00,Nitesh080508,"@BharatSolankee 
we request to you to chance to young generation of Gujarat so I am interested so contact me sir 8238072351 because I am unable to contact to you so give us chance for good governance for GUJARAT."
52,2017-12-23 18:26:58+00:00,jas_joon,@BharatSolankee @ashokgehlot51 Good going
53,2017-12-23 17:18:58+00:00,AmitM2018,"@BharatSolankee @ashokgehlot51 From this point, Congress must march ahead. Do not put much emphasis on BJP's negatives. Instead emphasize your positives, your programmes."
54,2017-12-23 13:20:50+00:00,vikram140gulati,@BharatSolankee -lead like a tiger #Gujarat is looking for good leadership only a #Congress Govt at the Centre can do that #ThankYouGujarat
55,2017-12-23 09:42:54+00:00,chhitijsharma,"@BharatSolankee @ashokgehlot51 Ovaisi, your partner is frightened with your temple tourism, he has called for green revolution. Wait dear ex C.M, day is coming when there will another partition on the name of mullistan."
56,2017-12-23 09:24:54+00:00,AmarsinhRajput2,@BharatSolankee @ashokgehlot51 Congratulations
57,2017-12-23 07:13:40+00:00,kirtijoshi1958,@BharatSolankee @ashokgehlot51 Gujarati gadhe nahi. Gujarat rejected hypocrisy of temple tourism. Nautanki bandh. You can't introspect. Mani and Sibal well done. Two loose overs. All sixer
58,2017-12-23 07:06:04+00:00,kirtijoshi1958,@BharatSolankee @ashokgehlot51 Janeu dikhaya. Nautanki. Temple tourism. Khatm. Foreign tourism chalu. Yuvraj Sinhasan meel gaya. Uncontested. Leadership zero. Where r HAJ? Nautanki bandh karo. We hate hypocrisy. Don't hold parliament at ransom. Public money wasted. If you don't behave responsibly Lot of gussa
59,2017-12-22 07:49:08+00:00,JehanbuxDesai,@BharatSolankee True
60,2017-12-21 11:13:52+00:00,Prasant76124690,"@BharatSolankee Three things can not belong hidden the sun, the moon and the truth. Arun Jetly's😒 2G, 3G, 4G,..... G scam claims exposed as a hollow sham."
61,2017-12-21 10:47:36+00:00,ManishKolhe,"@BharatSolankee Yes 
We seen gujarat and Himachal results 
Truth won"
62,2017-12-21 10:21:02+00:00,shashikantamrut,@BharatSolankee hi sir i am suffered for cong.defeatded.but i am hopping 2019 cong.gets power
63,2017-12-21 09:18:55+00:00,rupaldalal15,@BharatSolankee Plzzz do not consider aam janta Fools ..after tweeting such thing u shd stand in front of mirror and look into ur own eyes
64,2017-12-21 08:56:03+00:00,India_legally,@BharatSolankee And truth will kick the backs of those who peddled these lies.  Shameless ruling party gang now blaming the judiciary as he judgement does not suit their game.
65,2017-12-21 08:34:51+00:00,gaurav811214,@BharatSolankee But ur lies os still in half way.there r lot to come out.HC and SC still there.truth always come out some time it come quickly and some time it comes late..
66,2017-12-21 08:10:20+00:00,youngroy25,@BharatSolankee Wah Bharatbhai... that's quite a roundhouse swing !!
67,2017-12-21 07:58:08+00:00,kirtijoshi1958,"@BharatSolankee Truth is Gujarat discarded INC and all top leaders lost 
Janata ki Adalat. Judiciary giving verdict in contradiction to SC."
68,2017-12-21 07:54:09+00:00,ExWingSecular,@BharatSolankee Haaaa Politician get Motivation for more corruption or what
69,2017-12-21 05:09:56+00:00,KapildaveTOI,"@BharatSolankee and @shaktisinhgohil @INCGujarat 
likely to be nominated as the Rajya Sabha MP by @OfficeOfRG 
in March.@timesofindia"
70,2017-12-21 04:32:02+00:00,BharatG27464179,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC Congress Party don't have booth level supporter &amp; members and  they don't have proper management in Taluka level
71,2017-12-20 17:37:15+00:00,rakeshmohantvm,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC Excellent. Keep it going. Introspect and learn from mistakes
72,2017-12-20 17:06:40+00:00,ZuhaibK64860852,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC V good .
73,2017-12-20 15:56:01+00:00,sndgupta70,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC V good . Right process .
74,2017-12-20 15:11:16+00:00,zakir_9900,"@BharatSolankee 
thanks following sir"
75,2017-12-20 15:05:41+00:00,kirtijoshi1958,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC In 20 20 match. Two bowlers bowling was pathetic. Mani Shankar and Sibal allowed 12 sixer in last two overs
76,2017-12-20 14:51:20+00:00,kirtijoshi1958,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC SWOT analysis karo. Be away from dirty politics. Soft Hindutva failed. RaGa is not janeu dhari. We feel insulated. Reservation chocolates bandh karo. All local leadership gone. 3 monkeys of no use. Who will be LOP?  Arrogance of HAJ rejected. Introspection points in advance. पुरु
77,2017-12-20 14:21:31+00:00,yogashar99,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC Fraud party
78,2017-12-20 13:52:15+00:00,Nadim__Mansuri,"@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC Recount Godhra seat vote
Lost by 258 only?

In a Godhra seat election 
closing time said - 176417 vote
When counting    - 178911

How vote increase after voting?

#EVM_Aaladin_Ka_Chirag 
👇👇👇👇👇

@OfficeOfRG @divyaspandana @HardikPatel_ @INCIndia @INCGujarat @ShashiTharoor https://t.co/IPcqkZQvI6"
